first_name,last_name,phone,email,address,city,state
Lenna,Paprocki,907-385-4412,lpaprocki@hotmail.com,639 Main St,Anchorage,AK
Donette,Foller,513-570-1893,donette.foller@cox.net,34 Center St,Hamilton,OH
Simona,Morasca,419-503-2484,simona@morasca.com,3 Mcauley Dr,Ashland,OH
Mitsue,Tollner,773-573-6914,mitsue_tollner@yahoo.com,7 Eads St,Chicago,IL
Leota,Dilliard,408-752-3500,leota@hotmail.com,7 W Jackson Blvd,San Jose,CA
Sage,Wieser,605-414-2147,sage_wieser@cox.net,5 Boston Ave #88,Sioux Falls,SD
Kris,Marrier,410-655-8723,kris@gmail.com,228 Runamuck Pl #2808,Baltimore,MD
Minna,Amigon,215-874-1229,minna_amigon@yahoo.com,2371 Jerrold Ave,Kulpsville,PA
Abel,Maclead,631-335-3414,amaclead@gmail.com,37275 St  Rt 17m M,Middle Island,NY
Kiley,Caldarera,310-498-5651,kiley.caldarera@aol.com,25 E 75th St #69,Los Angeles,CA
Graciela,Ruta,440-780-8425,gruta@cox.net,98 Connecticut Ave Nw,Chagrin Falls,OH
Cammy,Albares,956-537-6195,calbares@gmail.com,56 E Morehead St,Laredo,TX
Mattie,Poquette,602-277-4385,mattie@aol.com,73 State Road 434 E,Phoenix,AZ
Meaghan,Garufi,931-313-9635,meaghan@hotmail.com,69734 E Carrillo St,Mc Minnville,TN
Gladys,Rim,414-661-9598,gladys.rim@rim.org,322 New Horizon Blvd,Milwaukee,WI
Yuki,Whobrey,313-288-7937,yuki_whobrey@aol.com,1 State Route 27,Taylor,MI
Fletcher,Flosi,815-828-2147,fletcher.flosi@yahoo.com,394 Manchester Blvd,Rockford,IL
Bette,Nicka,610-545-3615,bette_nicka@cox.net,6 S 33rd St,Aston,PA
Veronika,Inouye,408-540-1785,vinouye@aol.com,6 Greenleaf Ave,San Jose,CA
Willard,Kolmetz,972-303-9197,willard@hotmail.com,618 W Yakima Ave,Irving,TX
Maryann,Royster,518-966-7987,mroyster@royster.com,74 S Westgate St,Albany,NY
Alisha,Slusarski,732-658-3154,alisha@slusarski.com,3273 State St,Middlesex,NJ
Allene,Iturbide,715-662-6764,allene_iturbide@cox.net,1 Central Ave,Stevens Point,WI
Chanel,Caudy,913-388-2079,chanel.caudy@caudy.org,86 Nw 66th St #8673,Shawnee,KS
Ezekiel,Chui,410-669-1642,ezekiel@chui.com,2 Cedar Ave #84,Easton,MD
Willow,Kusko,212-582-4976,wkusko@yahoo.com,90991 Thorburn Ave,New York,NY
Bernardo,Figeroa,936-336-3951,bfigeroa@aol.com,386 9th Ave N,Conroe,TX
Ammie,Corrio,614-801-9788,ammie@corrio.com,74874 Atlantic Ave,Columbus,OH
Francine,Vocelka,505-977-3911,francine_vocelka@vocelka.com,366 South Dr,Las Cruces,NM
